Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAPL,Apple Inc. Common Stock,$164.85,2.11,1.297%,2858060499000.00,United States,1980,91878387,Technology,Computer Manufacturing
ADBE,Adobe Inc. Common Stock,$465.54,1.72,0.371%,219896759431.00,United States,1986,2869215,Technology,Computer Software: Prepackaged Software
AVGO,Broadcom Inc. Common Stock,$588.01,8.01,1.381%,240856388423.00,United States,2009,2236130,Technology,Semiconductors
CRM,Salesforce.com Inc Common Stock,$208.09,3.80,1.86%,204968650000.00,United States,2004,5849550,Technology,Computer Software: Prepackaged Software
CSCO,Cisco Systems Inc. Common Stock (DE),$56.04,1.31,2.394%,232799574720.00,United States,1990,18961265,Technology,Computer peripheral equipment
FB,Meta Platforms Inc. Class A Common Stock,$210.48,2.88,1.387%,572914343741.00,United States,2012,37593877,Technology,Internet and Information Services
GOOG,Alphabet Inc. Class C Capital Stock,$2690.39,36.92,1.391%,1778270632305.00,United States,2004,1311053,Technology,Internet and Information Services
GOOGL,Alphabet Inc. Class A Common Stock,$2689.19,35.37,1.333%,1777477466720.00,United States,,1818031,Technology,Internet and Information Services
MSFT,Microsoft Corporation Common Stock,$297.31,2.72,0.923%,2228893357709.00,United States,1986,32528003,Technology,Computer Software: Prepackaged Software
NVDA,NVIDIA Corporation Common Stock,$241.57,4.09,1.722%,603925000000.00,United States,1999,52829400,Technology,Semiconductors
ORCL,Oracle Corporation Common Stock,$76.35,1.54,2.059%,203888628450.00,United States,1986,8291347,Technology,Computer Software: Prepackaged Software
